25
(0.7460327219104892, 0.21722988149761413)
(0.40442876505847103, 0.0682198251187448)
(0.40083161315214577, 0.3938006828448366)
(0.8127654747181006, 0.2600123817462081)
(0.8567395130187946, 0.3689286278934135)
(0.06316892393412499, 0.584611564837824)
(0.15558169428009017, 0.46198058430304767)
(0.8860321699523201, 0.4332153432881284)
(0.6043023000532246, 0.7986232166577496)
(0.4639963480122625, 0.4618493895803062)
(0.5623087216472613, 0.12284546610435765)
(0.13248419407125878, 0.3069294605775158)
(0.20507280061569189, 0.6929625749208959)
(0.26689571521171684, 0.9398389215111586)
(0.3356028113688343, 0.5677309173439239)
(0.47384856061154124, 0.7858129707307421)
(0.8485223522427877, 0.5392207477909127)
(0.7159808355451578, 0.4494478582473017)
(0.7359710391361054, 0.6392986236658859)
(0.7678366641352592, 0.7862995600558909)
(0.9860357120107592, 0.47014391846090264)
(0.227666256302955, 0.38043844280759653)
(0.9548780195139173, 0.14063964154720487)
(0.4491690848644446, 0.6761898389777926)
(0.016502024984724972, 0.8321705696288427)
